time,activation,force,erg_signal
11.210000,1.000000,-131.938164,0.015103
11.212000,1.000000,-131.938190,0.013922
11.214000,1.000000,-131.938214,0.015176
11.216000,1.000000,-131.938238,0.016163
11.218000,1.000000,-131.938261,0.015596
11.220000,1.000000,-131.938284,0.016044
11.222000,1.000000,-131.938305,0.014558
11.224000,1.000000,-131.938327,0.013698
11.226000,1.000000,-131.938347,0.012559
11.228000,1.000000,-131.938368,0.011969
11.230000,1.000000,-131.938387,0.012256
11.232000,1.000000,-131.938406,0.012472
11.234000,1.000000,-131.938424,0.013605
11.236000,1.000000,-131.938442,0.013848
11.238000,1.000000,-131.938459,0.012768
11.240000,1.000000,-131.938476,0.013253
11.242000,1.000000,-131.938492,0.012967
11.244000,1.000000,-131.938508,0.013298
11.246000,1.000000,-131.938523,0.012722
11.248000,1.000000,-131.938537,0.015707
11.250000,1.000000,-131.938552,0.018712
11.252000,1.000000,-131.938565,0.017493
11.254000,1.000000,-131.938578,0.016382
11.256000,1.000000,-131.938591,0.018142
11.258000,1.000000,-131.938603,0.017713
11.260000,1.000000,-131.938614,0.017261
11.262000,1.000000,-131.938626,0.016165
11.264000,1.000000,-131.938636,0.017492
11.266000,1.000000,-131.938647,0.018203
11.268000,1.000000,-131.938656,0.017621
11.270000,1.000000,-131.938666,0.018045
11.272000,1.000000,-131.938675,0.022565
11.274000,1.000000,-131.938683,0.022381
11.276000,1.000000,-131.938691,0.020204
11.278000,1.000000,-131.938699,0.018353
11.280000,1.000000,-131.938706,0.016730
11.282000,1.000000,-131.938713,0.018057
11.284000,1.000000,-131.938719,0.019792
11.286000,1.000000,-131.938725,0.018751
11.288000,1.000000,-131.938731,0.017998
11.290000,1.000000,-131.938736,0.018488
11.292000,1.000000,-131.938741,0.016697
11.294000,1.000000,-131.938746,0.018198
11.296000,1.000000,-131.938750,0.017435
11.298000,1.000000,-131.938754,0.017131
11.300000,1.000000,-131.938757,0.017194
11.302000,1.000000,-131.938760,0.015840
11.304000,1.000000,-131.938763,0.014705
11.306000,1.000000,-131.938766,0.014197
11.308000,1.000000,-131.938768,0.015386
11.310000,1.000000,-131.938770,0.015727
11.312000,1.000000,-131.938771,0.017158
11.314000,1.000000,-131.938772,0.017000
11.316000,1.000000,-131.938773,0.018513
11.318000,1.000000,-131.938774,0.019915
11.320000,1.000000,-131.938774,0.018657
11.322000,1.000000,-131.938774,0.019030
11.324000,1.000000,-131.938774,0.018073
11.326000,1.000000,-131.938774,0.017753
11.328000,1.000000,-131.938773,0.017615
11.330000,1.000000,-131.938772,0.017046
11.332000,1.000000,-131.938770,0.015902
11.334000,1.000000,-131.938769,0.015031
11.336000,1.000000,-131.938767,0.014874
11.338000,1.000000,-131.938765,0.017951
11.340000,1.000000,-131.938763,0.018107
11.342000,1.000000,-131.938760,0.019066
11.344000,1.000000,-131.938757,0.018834
11.346000,1.000000,-131.938754,0.016993
11.348000,1.000000,-131.938751,0.015804
11.350000,1.000000,-131.938747,0.018695
11.352000,1.000000,-131.938744,0.018276
11.354000,1.000000,-131.938740,0.016886
11.356000,1.000000,-131.938736,0.020133
11.358000,1.000000,-131.938731,0.018415
11.360000,1.000000,-131.938727,0.022010
11.362000,1.000000,-131.938722,0.020596
11.364000,1.000000,-131.938717,0.020867
11.366000,1.000000,-131.938712,0.021518
11.368000,1.000000,-131.938707,0.021564
11.370000,1.000000,-131.938702,0.021885
11.372000,1.000000,-131.938696,0.022543
11.374000,1.000000,-131.938690,0.022517
11.376000,1.000000,-131.938685,0.021694
11.378000,1.000000,-131.938678,0.020839
11.380000,1.000000,-131.938672,0.019045
11.382000,1.000000,-131.938666,0.020063
11.384000,1.000000,-131.938659,0.019173
11.386000,1.000000,-131.938653,0.021631
11.388000,1.000000,-131.938646,0.021359
11.390000,1.000000,-131.938639,0.021536
11.392000,1.000000,-131.938632,0.021908
11.394000,1.000000,-131.938625,0.021200
11.396000,1.000000,-131.938617,0.023343
11.398000,1.000000,-131.938610,0.022917
11.400000,1.000000,-131.938602,0.022210
11.402000,1.000000,-131.938595,0.020011
11.404000,1.000000,-131.938587,0.021538
11.406000,1.000000,-131.938579,0.019629
11.408000,1.000000,-131.938571,0.021402
11.410000,1.000000,-131.938563,0.021490
11.412000,1.000000,-131.938555,0.019428
11.414000,1.000000,-131.938546,0.021152
11.416000,1.000000,-131.938538,0.021823
11.418000,1.000000,-131.938530,0.020230
11.420000,1.000000,-131.938521,0.019399
11.422000,1.000000,-131.938512,0.017566
11.424000,1.000000,-131.938504,0.015926
11.426000,1.000000,-131.938495,0.014636
11.428000,1.000000,-131.938486,0.013867
11.430000,1.000000,-131.938477,0.013684
11.432000,1.000000,-131.938468,0.013531
11.434000,1.000000,-131.938459,0.013519
11.436000,1.000000,-131.938450,0.012942
11.438000,1.000000,-131.938441,0.011691
11.440000,1.000000,-131.938432,0.010873
11.442000,1.000000,-131.938422,0.011796
11.444000,1.000000,-131.938413,0.012153
11.446000,1.000000,-131.938404,0.011130
11.448000,1.000000,-131.938394,0.010568
11.450000,1.000000,-131.938385,0.011823
11.452000,1.000000,-131.938375,0.015338
11.454000,1.000000,-131.938366,0.014158
11.456000,1.000000,-131.938356,0.016492
11.458000,1.000000,-131.938346,0.015262
11.460000,1.000000,-131.938337,0.018608
11.462000,1.000000,-131.938327,0.017863
11.464000,1.000000,-131.938317,0.016539
11.466000,1.000000,-131.938308,0.017687
11.468000,1.000000,-131.938298,0.017133
11.470000,1.000000,-131.938288,0.015888
11.472000,1.000000,-131.938278,0.014737
11.474000,1.000000,-131.938268,0.014304
11.476000,1.000000,-131.938259,0.013165
11.478000,1.000000,-131.938249,0.012828
11.480000,1.000000,-131.938239,0.015840
11.482000,1.000000,-131.938623,0.015739
11.484000,1.000000,-131.938966,0.014295
11.486000,1.000000,-131.939262,0.014328
11.488000,1.000000,-131.939510,0.014139
11.490000,1.000000,-131.939710,0.015586
11.492000,1.000000,-131.939865,0.015799
11.494000,1.000000,-131.939977,0.016117
11.496000,1.000000,-131.940053,0.017010
11.498000,1.000000,-131.940096,0.017052
11.500000,1.000000,-131.940115,0.018081
11.502000,1.000000,-131.940114,0.016336
11.504000,1.000000,-131.940100,0.018090
11.506000,1.000000,-131.940079,0.017193
11.508000,1.000000,-131.940056,0.017186
11.510000,1.000000,-131.940037,0.015677
